month,n_days,t_mean,rh,wind,utci,demand,utci_shade,demand_shade,utci_plus15,demand_plus15,utci_shade_plus15,demand_shade_plus15,utci_plus25,demand_plus25,utci_shade_plus25,demand_shade_plus25,city,v_bar,v_need,v_need_plus15,v_need_plus25,shr,shr_plus15,shr_plus25,rta,inadequate_frac
7,310,28.8579435483871,68.35645161290323,4.681326612903225,33.01746874003719,7.446839500219487,29.499381692206775,4.073084345511392,35.109903850313,9.293808839221443,31.70953329176738,5.941393306401525,36.57141318092041,10.657056944159176,33.250667202904594,7.363464778755048,svi_tokyo,1.4589620873937783,1.614401118022953,2.0148057951683365,2.3103444951348497,-0.15543903062917463,-0.5558437077745582,-0.8513824077410714,0.9037172181721912,0.617827536108025
8,310,30.11774193548387,66.30766129032259,4.786060483870968,35.22099202446243,9.452572856463423,31.023338333058135,5.339134683137354,37.352536333779874,11.467814077997053,33.30500082107493,7.448494830547983,38.85188717051475,12.917497600444939,34.89961694278953,8.97861262108396,svi_tokyo,1.4589620873937783,2.049224263154616,2.486108619401846,2.800385662615996,-0.5902621757608377,-1.0271465320080677,-1.341423575222218,0.7119582339649948,0.7802524000797653
9,300,26.183083333333332,69.60833333333333,4.3380833333333335,29.820467451991682,4.8949837294464125,26.015628886247914,1.8544398877047232,31.78597371940169,6.441258573978903,28.12217517479797,3.1699866727933768,33.14641331077423,7.589272239432227,29.571093466024795,4.262750678483618,svi_tokyo,1.4589620873937783,1.0611840372401655,1.3964011233221798,1.6452791265286206,0.3977780501536128,0.0625609640715985,-0.18631703913484232,1.3748436050622463,0.3621684756288636
10,310,20.30274193548387,66.61209677419355,4.14733064516129,22.62351521207717,1.3020220284149173,18.301049737366416,0.08721169348021024,24.401226191201,2.025857042880973,20.20133889580968,0.29183010570513834,25.605165278937417,2.602684155323858,21.490012086635936,0.5658720212564218,svi_tokyo,1.4589620873937783,0.28226549240138743,0.43918576127299647,0.564236171612349,1.1766965949923909,1.0197763261207817,0.8947259157814293,5.1687582317682095,0.0
11,300,15.264958333333334,64.29708333333333,3.4658666666666664,18.997500473193718,0.197816320655009,13.526414496470473,0.0,20.580348927073818,0.41234959211654115,15.227059460186993,0.006407664508521336,21.641912436761146,0.6384011242809056,16.373784777167415,0.015700622565229524,svi_tokyo,1.4589620873937783,0.04288462094815134,0.08939331141884177,0.13839904683803475,1.416077466445627,1.3695687759749364,1.3205630405557436,34.02063618931604,0.0
12,310,9.873306451612903,58.72379032258065,3.433173387096774,14.175012228651784,0.002023655955657279,7.7915586062881355,0.0,15.751174186511093,0.008461137706099658,9.450501427150272,0.0,16.79194081440086,0.019407213167131804,10.553800489575073,0.0,svi_tokyo,1.4589620873937783,0.0004387085873424059,0.001834290932693104,0.004207291782480865,1.458523378806436,1.4571277964610851,1.4547547956112974,3325.583609456632,0.0
1,310,2.3910483870967743,59.42620967741936,4.529560483870968,-0.2782137127769897,0.0,-5.026066577258194,0.0,1.6660012180982076,0.0,-3.1286246881705138,0.0,2.955160021667401,0.0,-1.862755994840798,0.0,svi_ny,1.4134781020193454,0.0,0.0,0.0,1.4134781020193454,1.4134781020193454,1.4134781020193454,,0.0
2,283,3.560468197879859,60.793286219081274,4.3794699646643105,2.7848851747731795,0.0,-3.1206532224409673,0.0,4.681107230014605,0.0035026095117133053,-1.2218482412094989,0.0,5.9374150139641815,0.0092319131280484,0.04596289649289215,0.0,svi_ny,1.4134781020193454,0.0,0.0007593310842191678,0.0020013874174369993,1.4134781020193454,1.4127187709351263,1.4114767146019085,,0.0
3,310,7.7031048387096765,55.90564516129032,4.898600806451614,7.181886844625015,0.023210490045820157,0.730813009829143,0.0,9.06956466419523,0.049091845165354114,2.668442895844937,0.0,10.318854609303722,0.07416052961530878,3.9616350913845553,0.0,svi_ny,1.4134781020193454,0.005031804576791035,0.010642626273658974,0.016077269010645396,1.4084462974425545,1.4028354757456865,1.3974008330087,280.9087834092261,0.0
4,300,13.593541666666667,55.650416666666665,4.867383333333333,14.482892112646569,0.27107391683510174,8.420535518523401,0.013532891677732622,16.29387693144778,0.4303519106055518,10.355713895787082,0.039146220545524815,17.499646586368364,0.5727278687730372,11.652177901685171,0.07011547489866254,svi_ny,1.4134781020193454,0.05876614292446491,0.09329603593637804,0.12416173487327642,1.3547119590948806,1.3201820660829673,1.289316367146069,24.05259272905081,0.0
